#ra	dec	p	perr	pra	praerr	pdec	pdecerr	rv	rverr	G	Gerr	B	Berr	R	Rerr	V	Verr	spt	spterr	binaryflag	d	dm	dp
126.6968420533195	-51.0023069897896	3.1168	0.0612	-12.875	0.123	3.318	0.129	nan	nan	16.522272	0.00265140567485646	17.908497	0.011522136206233083	15.329494	0.004589911651422469	17.642105615330003	0.011235931041411833	nan	nan	nan	318.110043031409	6.127552866637018	6.368600426657963
127.1059633270868	-50.7380795418775	2.8504	0.1158	-12.209	0.197	2.787	0.186	nan	nan	17.752893	0.0023971239525732604	19.432444	0.042928195150441606	16.459688	0.006676511942076393	19.156252103159996	0.04186004222665488	nan	nan	nan	348.323481662375	13.628283456927022	14.76402631935099
126.97699497798	-50.9071155328643	3.2067	0.0539	-13.505	0.093	3.446	0.095	nan	nan	16.336182	0.0027224334172830512	17.768946	0.013817030559958685	15.147265	0.005211376596375111	17.50149235991	0.013473749045496091	nan	nan	nan	309.210080593965	5.111464080497001	5.283059010026989
126.9523123770847	-51.3952004409964	3.2299	0.0969	-13.474	0.194	3.294	0.183	nan	nan	17.724188	0.0021451091802376704	19.351408	0.029108958938427923	16.42672	0.006471430038569277	19.076412515679998	0.028384893971852634	nan	nan	nan	307.348749055004	8.96462461813502	9.509799262699971
127.0429288870192	-51.130825202993	3.1292	0.0627	-13.461	0.133	3.453	0.127	nan	nan	16.860159	0.0021859262142693192	18.411568	0.01690264606518261	15.615102	0.004010803840779079	18.139763961259998	0.016482241527037176	nan	nan	nan	316.865268083828	6.223923332779009	6.4737855935709945
125.1184772546257	-51.4958795511511	3.2181	0.1922	-13.241	0.281	3.681	0.653	nan	nan	12.274539	0.011628763213786763	nan	nan	nan	nan	nan	nan	nan	nan	nan	309.962337332238	17.888664226169	20.181622774918992
125.6722923991944	-50.4959607602129	3.2406	0.0991	-12.354	0.193	3.334	0.193	nan	nan	17.75586	0.0025295270755467426	19.380657	0.03667911591863057	16.468397	0.0065202546637384414	19.1059708486	0.03576654091529845	nan	nan	nan	306.369876297773	9.108912748185958	9.674251864276016
126.2494372386451	-51.0844857991153	3.1576	0.1104	-13.381	0.213	3.478	0.201	nan	nan	17.653688	0.002279010417062194	19.327862	0.03904556870850024	16.368055	0.004467048166087127	19.05199240377	0.03807388684679872	nan	nan	nan	314.503109091991	10.649846093121027	11.409315140023011
125.4512057580873	-51.0647641030853	3.3048	0.0174	-13.666	0.034	3.328	0.032	nan	nan	14.26559	0.0024427476401768563	15.049851	0.006763935687511788	13.40114	0.004552034134059226	14.806614583210001	0.006596554401876911	nan	nan	nan	299.974764959298	1.56704667899902	1.58329581477102
125.1702003731222	-50.946236821455	2.8394	0.3971	-12.615	0.935	2.517	0.794	nan	nan	16.720243	0.006171078635122053	17.40603	0.006277424190519813	15.707484	0.0032838767827116115	17.16155319006	0.006121724783703215	nan	nan	nan	361.555020154448	49.661308052789025	68.30555546546697
126.3646335045586	-50.8004503593251	3.3353	0.1444	-13.159	0.446	3.525	0.312	nan	nan	17.613047	0.0035321748726627722	17.651453	0.12644832963172917	15.979569	0.038355111453570456	17.40763980724	0.12330472637630811	nan	nan	nan	298.258773577745	12.432174566206015	13.542187231486025
