#name  	  vr  	  vrerr  	  pra  	  praerr  	  pdec  	  pdecerr
pha14  	 26.77 	 0.89 	 -7.32 	 0.90 	 11.72 	 0.90
pha15  	 21.99 	 0.20 	 -7.579 	 0.068 	 11.451 	 0.067
KWW464  	 24.0 	 3.0 	 -7.510 	 0.051 	 11.603 	 0.051
KWW598  	 21.5 	 3.0 	 -7.89 	 0.13 	 10.98 	 0.13
KWW1863  	 26.2 	 3.0 	 -7.400 	 0.056 	 12.025 	 0.056
KWW2205  	 25.3 	 3.0 	 -7.728 	 0.093 	 11.675 	 0.087
pha21  	 24.12 	 0.21 	 -6.26 	 0.48 	 6.62 	 0.57
KWW873  	 22.2 	 3.0 	 -4.19 	 0.38 	 9.15 	 0.39
KWW1637  	 22.8 	 3.0 	 -4.55 	 0.77 	 7.81 	 0.78
KWW1953  	 24.5 	 3.0 	 -6.14 	 0.39 	 12.79 	 0.40
pha12  	 23.07 	 0.15 	 -6.5 	 4.8 	 7.7 	 4.7
KWW1055  	 20.0 	 3.0 	 \nodata 	 \nodata 	 \nodata 	 \nodata
KWW1302  	 \nodata 	 \nodata 	 \nodata 	 \nodata 	 \nodata 	 \nodata
cg30_irs4_s2  	 22.5 	 2.0 	 \nodata 	 \nodata 	 \nodata 	 \nodata
pha40  	 32.16 	 0.29 	 -1.95 	 0.43 	 4.76 	 0.51
pha41  	 29.69 	 0.41 	 -4.738 	 0.050 	 4.791 	 0.051
pha44  	 30.29 	 0.15 	 -3.27 	 0.29 	 7.23 	 0.31
pha51_x  	 33.69 	 0.44 	 -6.4 	 4.8 	 0.5 	 4.6
pha34  	 31.65 	 0.29 	 -9.0 	 1.1 	 6.4 	 1.1
KWWXRS9  	 -74.0 	 3.0 	 -22.948 	 0.072 	 21.203 	 0.077
IRAS08159-3543  	 49 	 \nodata 	 -4.03 	 0.91 	 1.67 	 0.88
