GAIA_ID,G,RA_GAIA,DE_GAIA,2MASS_ID,J_2MASS,Jerr_2MASS,H_2MASS,Herr_2MASS,K_2MASS,Kerr_2MASS,RA_2MASS,DE_2MASS,bayes_2MASS,angsep_2MASS
429379051804727296,16.9667,0.00021864741,60.89771179398,00000009+6053531,13.876,0.024,13.308,0.032,13.055,0.026,0.00039,60.898087,0.9993495,0.1131188
429379051804727296,16.9667,0.00021864741,60.89771179398,00000116+6054047,16.228,0.1,15.771,0.156,15.436,0.195,0.004842,60.901306,0.0,13.893606
384318827606840448,17.9638,0.00047931984,42.19465632646,00000004+4211408,14.897,0.038,14.253,0.045,13.992,0.051,0.000202,42.194679,0.9998343,0.0210179
2772104109112208256,18.4284,0.00051294158,15.565175017629997,00000015+1533550,15.539,0.061,15.081,0.093,14.763,0.0970,0.00065,15.565296,0.999958,0.1038959
4922439138656081024,16.1428,0.00054775339,-57.26154422458,00000021-5715408,13.517,0.025,12.957,0.028,12.713,0.0290,0.000914,-57.261356,0.9999721,0.2605187
2738617902668633344,16.053,0.00059265319,1.41569388809,00000009+0124562,14.005,0.028,13.378,0.029,13.19,0.034,0.00041,1.415625,0.9999895,0.0681481
422597225421620992,19.7116,0.00062329596,57.67086338256,00000006+5740156,16.327,0.119,15.766,0.143,15.057,99.0,0.000289,57.671021,0.9888028,0.2357019
2420684907087327104,16.4742,0.000644395,-14.44069806218,00000012-1426271,14.273,0.032,13.616,0.033,13.47,0.037,0.000518,-14.440871,0.9999867,0.0757191
2305877746911854336,16.9816,0.00064631606,-41.07994573153,00000010-4104482,14.338,0.043,13.627,0.038,13.532,0.045,0.000449,-41.080074,0.9999833,0.1291896
2305877746911854336,16.9816,0.00064631606,-41.07994573153,00000046-4104378,16.126,0.089,15.426,0.111,15.211,0.152,0.00193,-41.07719,0.0744052,11.2620835
